name,type,status,location,serial_number,description,installed_date
CNC Lathe Trainer V1,CNC Machine,Active,Lab 1 - Building A,CNC-2023-0001,Standard CNC lathe trainer for basic machining,2023-03-15
Temperature Sensor Array,IoT Sensor,active,Lab 2 - Building B,IOT-2023-0015,Industrial temperature monitoring cluster,2023-05-20
  PLC Training Module S7-1200  ,PLC Module,ACTIVE,  Lab 3 - Building A  ,PLC-2023-0033,Siemens PLC trainer for automation,01/15/2023
Hydraulic Press Simulator,hydraulic,Under Maintenance,Lab 4 - Building C,HYD-2023-0018,Hydraulic press simulation unit,15-06-2023
Pneumatic Circuit Trainer V2,Pneumatic System,decommissioned,Storage - Building D,PNE-2021-0007,Legacy pneumatic trainer replaced by V3,2021-06-15
CNC Milling Trainer V3,cnc,Active,Lab 1 - Building A,CNC-2024-0089,3-axis CNC milling trainer,May 1 2024
Vibration Sensor Kit,sensor,active,Lab 2 - Building B,IOT-2024-0112,Predictive maintenance vibration sensor,04/10/2024
Motor Control Panel,Electrical Panel,under_maintenance,Lab 5 - Building A,ELP-2023-0021,AC/DC motor control panel,2023-11-22
,CNC Machine,Active,Lab 1 - Building A,CNC-2024-0099,Missing name field,2024-01-01
Automation Line Simulator,Automation Trainer,Active,Lab 6 - Building B,AUT-2024-0056,Production line simulator,2024-06-15
Pressure Gauge Array,IoT Sensor,Active,Lab 2 - Building B,IOT-2023-0015,Duplicate serial number with row 2,2023-08-10
Electrical Wiring Trainer,panel,Active,Lab 5 - Building A,ELP-2024-0035,Industrial wiring trainer,2024-07-01
CNC Turning Center,CNC Machine,,Lab 1 - Building A,CNC-2024-0100,Missing status field,2024-02-15
Robotic Arm Trainer,Robot Arm,Active,Lab 7 - Building C,ROB-2024-0001,Invalid equipment type,2024-03-20
Hydraulic Power Pack,Hydraulic System,Active,Lab 4 - Building C,,No serial number provided,2024-04-15
Temperature Controller,PLC Module,Offline,Lab 3 - Building A,PLC-2024-0040,Status is non-standard but valid alias,2024-05-10
Flow Sensor Module,iot,ACTIVE,Lab 2 - Building B,IOT-2024-0150,Multiple normalizations needed,03/25/2024
CNC Router Trainer,CNC,Active,Lab 1 - Building A,CNC-2024-0110,Type abbreviation needs normalization,2024-06-01
PLC Compact Trainer,plc,retired,Lab 3 - Building A,PLC-2022-0010,Retired status alias for decommissioned,2022-09-15
Pneumatic Valve Bank,Pneumatic,maintenance,Lab 4 - Building C,PNE-2024-0020,Maintenance status alias,2024-01-20
Smart Relay Board,Electrical Panel,Active,Lab 5 - Building A,ELP-2024-0042,Normal record for baseline,2024-08-01
Conveyor Belt Trainer,automation,Active,Lab 6 - Building B,AUT-2024-0060,Type needs normalization,2024-07-15
Broken Row Data,,,,,,,
Laser Distance Sensor,IoT Sensor,Active,Lab 2 - Building B,12345,Serial is numeric not string pattern,2024-09-01
VFD Motor Controller,Electrical Panel,Active,Lab 5 - Building A,ELP-2024-0050,Variable frequency drive trainer,13/25/2024
CNC Plasma Cutter Sim,CNC Machine,Active,Lab 1 - Building A,CNC-2024-0120,Normal record,2024-10-15
Thermocouple Array,IoT Sensor,Active,Lab 2 - Building B,IOT-2024-0200,Normal record,2024-11-01
PLC HMI Panel,PLC Module,Under Maintenance,Lab 3 - Building A,PLC-2024-0055,HMI touchscreen trainer,2024-11-15
Hydraulic Cylinder Test Rig,Hydraulic System,Active,Lab 4 - Building C,HYD-2024-0030,Cylinder force measurement trainer,2024-12-01
Pneumatic Logic Trainer,Pneumatic System,Active,Lab 4 - Building C,PNE-2024-0025,Boolean logic pneumatic circuits,2024-12-15
Safety Relay Module,Electrical,inactive,Lab 5 - Building A,ELP-2024-0060,Type and status aliases,2024-10-01
